ID,Domain,Phylum,Class,Order,Family,Genus
OTU_193,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas
OTU_3083,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
OTU_134,Bacteria,Verrucomicrobia,Subdivision3,Unclassified,Unclassified,Subdivision3_genera_incertae_sedis
OTU_850,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter
OTU_288,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
OTU_296,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azonexus
OTU_191,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides
OTU_11891,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unclassified,Unclassified
OTU_1467,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Unclassified,Unclassified
OTU_253,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
OTU_73,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
OTU_3150,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Anaerorhabdus
OTU_152,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera
OTU_542,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unclassified
OTU_838,Bacteria,Verrucomicrobia,Subdivision3,Unclassified,Unclassified,Subdivision3_genera_incertae_sedis
OTU_2163,Bacteria,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU_2840,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_207,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
OTU_176,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
OTU_764,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dokdonella
OTU_917,Bacteria,Proteobacteria,Betaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_17906,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unclassified,Unclassified
OTU_4171,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_246,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
OTU_2823,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_733,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae 1,Bacillus
OTU_2311,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unclassified
OTU_379,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
OTU_1033,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_6570,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unclassified
OTU_6058,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Unclassified
OTU_966,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Gordonia
OTU_2275,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Unclassified
OTU_389,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Unclassified
OTU_485,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Unclassified
OTU_2758,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
OTU_1463,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
OTU_16134,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
OTU_1399,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
OTU_1552,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto
OTU_903,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Silanimonas
OTU_5229,Bacteria,Firmicutes,Bacilli,Bacillales,Pasteuriaceae,Pasteuria
OTU_8825,Bacteria,Acidobacteria,Acidobacteria_Gp1,Unclassified,Unclassified,Gp1
OTU_1036,Bacteria,Bacteroidetes,Bacteroidetes_incertae_sedis,Unclassified,Unclassified,Ohtaekwangia
OTU_392,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Unclassified
OTU_23134,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas
OTU_302,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca
OTU_8139,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
OTU_31130,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Unclassified
OTU_85,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
OTU_71,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unclassified
OTU_643,Bacteria,Acidobacteria,Acidobacteria_Gp16,Unclassified,Unclassified,Gp16
OTU_8358,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Unclassified
OTU_174,Bacteria,Nitrospira,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
OTU_280,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Unclassified,Unclassified
OTU_597,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Unclassified,Unclassified
OTU_18251,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Flammeovirgaceae,Unclassified
OTU_6990,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_4745,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_1569,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
OTU_456,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
OTU_173,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
OTU_10629,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
OTU_479,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unclassified,Unclassified
OTU_1256,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera
OTU_209,Bacteria,Verrucomicrobia,Spartobacteria,Unclassified,Unclassified,Spartobacteria_genera_incertae_sedis
OTU_1719,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_824,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Methyloversatilis
OTU_21088,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unclassified,Unclassified
OTU_3209,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unclassified
OTU_1397,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Conexibacteraceae,Conexibacter
