Sample_Name,Latitude,Longitude,DOC,DTN,MBC,MBN,NH4_N,NO3_N,VWC,A,soil T,Ph,clustering,average.degree,modularity
CX1_H01,31,119.5900104,44.734,23.973,433.137,37.557,5.038,9.536,55.9,50,18.2,5.93,0.024573379,110,-0.009404868
CX1_H06,31,119.5900624,32.249,15.663,555.142,57.128,5.259,5.329,43.4,49.4,18,6.51,0.02443281,127,-0.008108932
CX1_H16,31,119.5901664,31.32,12.961,684.934,46.829,3.793,8.583,42.6,48.8,18,5.71,0.024102839,132,-0.007796922
CX1_H36,31,119.5903745,29.646,12.72,479.432,30.138,3.841,7.667,47,48.5,18.4,5.23,0.024477307,136,-0.007577145
CX1_H76,31,119.5907906,28.433,13.734,587.836,40.05,3.34,6.369,49.5,48.5,18.4,5.37,0.025927809,138,-0.007469278
CX1_V0,31,119.59,27.38,6.692,466.623,35.087,5.316,9.881,41.2,41.2,19.3,6.59,0.025285972,122,-0.008460859
CX1_V01,31.00000901,119.59,36.108,16.281,451.994,50.514,5.607,2.339,41.5,41.5,19,6.01,0.02738764,113,-0.009140449
CX1_V06,31.00005405,119.59,37.36,10.95,395.478,29.304,5.65,1.382,53.7,44,19.4,6.83,0.026034713,114,-0.009056597
CX1_V16,31.00014414,119.59,29.816,8.114,419.434,34.359,6.797,5.286,52.6,45.4,18.2,6.88,0.025291829,112,-0.009232264
CX1_V36,31.00032432,119.59,41.193,14.601,417.484,38.255,5.261,1.402,56.8,47,19.2,6.58,0.031620553,119,-0.008664001
CX1_V76,31.00068468,119.59,29.273,7.701,340.009,21.479,5.278,13.608,57.3,49.4,18.4,6.18,0.02443281,118,-0.008762845
CX2_H01,30.98333333,120.0000104,29.216,10.446,495,28.185,3.329,7.82,46.5,43.9,18.5,5,0.024590164,136,-0.007575646
CX2_H06,30.98333333,120.0000624,30.306,15.134,580.937,34.695,3.196,7.045,48.2,44.6,18.5,5.56,0.02672956,137,-0.007524676
CX2_H16,30.98333333,120.0001664,27.587,12.155,327.935,19.044,3.162,6.385,39.8,43.9,18.5,5.31,0.025993884,137,-0.007525455
CX2_H36,30.98333333,120.0003745,29.222,12.341,490.085,30.46,3.191,4.684,44.5,44,18.7,5.48,0.025967413,137,-0.007525068
CX2_H76,30.98333333,120.0007906,26.614,10.995,681.295,30.54,5.726,2.278,29.3,41.1,18.6,5.43,0.026969857,135,-0.007637414
CX2_V0,30.98333333,120,28.672,11.418,421.117,27.412,4.025,11.269,40.9,40.9,18.7,5.59,0.025423729,134,-0.007689185
CX2_V01,30.98334234,120,39.243,22.354,757.367,41.521,4.847,6.729,45.4,42.4,18.5,5.16,0.025927809,138,-0.007469278
CX2_V06,30.98338738,120,37.08,15.131,741.754,44.813,4.078,9.057,45.9,43.3,18.6,5.26,0.026180698,135,-0.007636844
CX2_V16,30.98347747,120,30.219,15.056,708.12,38.766,3.33,7.408,47.6,41.7,18.6,5.93,0.026969857,135,-0.007634343
CX2_V36,30.98365765,120,29.435,13.412,549.717,36.946,3.639,8.385,48.2,42.2,18.6,4.99,0.025927809,138,-0.007469278
CX2_V76,30.98401801,120,29.865,15.577,448.744,28.107,3.656,5.079,43.7,42.3,18.8,5.95,0.025927809,138,-0.007469278
CX3_H01,31.00638889,119.948066,31.61,8.79,620.934,39.102,4.548,2.477,34,40.9,19.1,5.21,0.025927809,138,-0.007469278
CX3_H06,31.00638889,119.948118,34.242,9.094,580.995,35.457,4.638,2.611,45.1,41.4,18.8,6.51,0.025170425,136,-0.007580873
CX3_H16,31.00638889,119.948222,33.549,9.495,472.562,23.769,5.412,4.064,45.9,41.8,18.7,5,0.025927809,138,-0.007469278
CX3_H36,31.00638889,119.9484301,35.268,11.698,723.424,45.139,6.827,1.978,40.4,41.7,18.6,5.14,0.025927809,138,-0.007469278
CX3_H76,31.00638889,119.9488462,33.484,10.494,697.224,56.103,5.386,2.125,41.8,41.7,18.6,4.65,0.025927809,138,-0.007469278
CX3_V0,31.00638889,119.9480556,36.738,12.237,510.495,33.183,4.767,2.84,46.8,46.8,18.9,4.88,0.025927809,138,-0.007469278
CX3_V01,31.0063979,119.9480556,30.318,9.747,598.201,34.543,4.209,2.333,42.6,45.4,18.7,NA,0.026127049,137,-0.007522064
CX3_V06,31.00644294,119.9480556,31.038,8.073,328.266,21.14,4.594,5.124,37.9,43.5,18.6,NA,0.025927809,138,-0.007469278
CX3_V16,31.00653303,119.9480556,31.92,10.415,737.766,46.177,5.383,4.043,40.9,43,19,5.58,0.025170425,137,-0.007524379
CX3_V36,31.00671321,119.9480556,25.379,8.342,578.633,41.276,4.271,3.387,35.4,41.7,18.8,5.1,0.024590164,136,-0.007575646
CX3_V76,31.00707357,119.9480556,28.623,8,663.232,41.566,4.299,2.586,42.9,41.9,18.6,5.46,0.026884555,134,-0.0076856
HF1_H01,31.95503333,117.5203326,29.253,7.791,102.605,13.265,5.815,0.516,49.5,45.5,17.3,5.15,0.023699803,114,-0.009032711
HF1_H06,31.95503333,117.5203846,34.643,9.373,109.783,5.631,5.274,3.351,35.1,44.6,17.2,4.59,0.021984216,126,-0.008131449
HF1_H16,31.95503333,117.5204886,27.476,9.236,151.029,20.771,4.594,3.857,35.9,43.9,17.2,NA,0.020431328,126,-0.008150791
HF1_H76,31.95503333,117.5206967,25.288,10.776,107.041,14.669,4.678,4.672,29.8,41.6,17.1,NA,0.016143498,106,-0.009743189
HF1_V0,31.95503333,117.5211128,24.347,7.376,69.658,6.988,6.086,0.372,41.5,41.5,17,NA,0.011749347,77,-0.013395208
HF1_V01,31.95503333,117.5203222,31.352,9.01,92.631,7.949,7.786,0.505,45.9,43.7,17,5.15,0.01590106,125,-0.00823642
HF1_V06,31.95504234,117.5203222,29.156,9.951,104.896,7.392,6.613,0.539,45.4,44.7,17,5.19,0.021403092,118,-0.008703797
HF1_V16,31.95508738,117.5203222,25.162,7.616,80.822,17.273,4.585,0.46,45.7,44.9,17,4.46,0.02446675,118,-0.008701787
HF1_V76,31.95517747,117.5203222,24.333,7.062,112.81,10.967,4.573,0.982,48.4,45.1,17.2,4.47,0.020155039,132,-0.007799846
HF2_H01,31.95535765,117.5203222,21.894,15.098,168.345,20.922,3.945,5.104,43.2,44.4,17.5,4.27,0.018607857,113,-0.009112405
HF2_H06,31.95571801,117.5203222,21.808,9.899,124.432,25.296,5.147,2.22,32.2,42.9,17.5,4.28,0.017357763,93,-0.01113337
HF2_H16,32.05483333,117.5745354,24.384,8.755,93.692,14.346,5.065,1.15,27.6,41.2,17.4,4.26,0.02268431,97,-0.010589596
HF2_H76,32.05483333,117.5745874,23.523,6.311,134.403,21.694,5.783,1.18,31.8,40.8,17.2,3.49,0,42,-0.025604228
HF2_V0,32.05483333,117.5746914,25.836,10.585,124.821,15.748,4.469,5.493,50.1,44.6,17.8,4.15,0.01399689,98,-0.010482882
HF2_V01,32.05483333,117.5748995,34.705,14.647,156.113,23.135,7.45,4.387,44,43.5,17.6,4.14,0.01559792,101,-0.010202526
HF2_V06,32.05483333,117.5753156,24.36,8.705,205.785,30.946,4.62,11.524,50.1,43.4,17.6,4.35,0.023422251,120,-0.008608143
HF2_V16,32.05483333,117.574525,23.143,13.694,198.433,19.484,4.821,7.593,44,41.2,17.4,4.14,0.017241379,85,-0.012147799
HF2_V36,32.05484234,117.574525,29.552,16.206,159.924,31.809,4.641,7.532,47.6,39.8,17.3,4.5,0.013503376,103,-0.009963746
HF2_V76,32.05488738,117.574525,24.726,13.495,187.687,27.45,4.136,8.754,32,32,17.2,NA,0.016559338,92,-0.011188722
HF3_H01,32.05497747,117.574525,22.583,6.429,145.549,18.6,5.972,0.598,42.3,42.3,17.5,4.95,0.018672199,108,-0.009508086
HF3_H16,32.05515765,117.574525,38.147,10.464,152.581,20.872,5.804,0.657,45.4,44,18.1,5.04,0.02430243,102,-0.010102416
HF3_V0,32.05551801,117.574525,27.021,7.3,146.228,19.23,4.252,1.52,42.3,42.3,17.5,4.65,0.02004008,112,-0.009177893
HF3_V01,32.00842778,117.6537048,25.697,7.561,179.906,15.919,5.341,0.525,42.9,42.6,17.9,4.52,0.018561485,103,-0.009989969
HF3_V06,32.00842778,117.6537568,25.055,7.353,191.485,21.307,5.003,0.651,42,42.4,17.5,4.45,0.018691589,103,-0.009973376
HF3_V16,32.00842778,117.6538608,26.542,6.855,148.036,19.108,5.407,0.486,42.3,42.4,17.4,4.34,0.018134715,99,-0.010400431
HF3_V36,32.00842778,117.6540689,31.387,8.371,132.542,11.31,4.699,0.44,41.8,42.3,17.6,4.44,0.012744265,98,-0.010523053
HS1_H01,32.00842778,117.654485,17.633,5.603,84.043,5.72,2.044,1.275,40.4,38.7,14.2,6,0.01640625,109,-0.009458426
HS1_H06,32.00842778,117.6536944,17.926,5.163,124.742,12.386,1.883,2.942,48.4,39.8,14.2,NA,0.019271949,113,-0.009127901
HS1_H16,32.00843679,117.6536944,19.331,6.692,159.297,15.771,2.359,1.783,41.8,40,14.8,5.51,0.025252525,103,-0.010073512
HS1_H36,32.00848183,117.6536944,20.813,5.84,180.669,15.79,2.537,0.388,41.5,40.1,13.8,5.22,0.021606648,127,-0.008123669
HS1_H76,32.00857192,117.6536944,50.991,10.241,176.675,16.178,2.719,0.846,40.1,40.1,14.5,NA,0.025423729,128,-0.008052075
HS1_V0,32.0087521,117.6536944,18.787,5.305,68.618,5.113,1.901,1.401,44.8,44.8,13,NA,0,15,-0.066268911
