,,Phylum,Class,Order,Family,Genus,,
OTU_8220,Anaeromyxobacter sp. Fw109-5 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Anaeromyxobacter,
OTU_12407,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_6592,Anaeromyxobacter sp. PSR-1 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_1013,Azospirillum lipoferum 4B Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Azospirillum,,
OTU_12403,Desulfuromonas thiophila Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Desulfuromonadaceae, Desulfuromonas,,
OTU_322,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_17106,Anaeromyxobacter sp. PSR-1 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_17105,Geobacter pickeringii Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_5382,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_17102,Skermanella aerolata KACC 11604 Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Skermanella,,
OTU_8300,uncultured alpha proteobacterium Bacteria, Proteobacteria, Alphaproteobacteria, environmental samples,,,,
OTU_3421,uncultured Azoarcus sp. Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Zoogloeaceae, Azoarcus, environmental samples,
OTU_6241,Pseudomonas sp. IPPW-2 Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_19345,Martelella endophytica Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Aurantimonadaceae, Martelella,,
OTU_19692,Nostoc calcicola FACHB-389 Bacteria, Cyanobacteria, Nostocales, Nostocaceae, Nostoc,,,
OTU_13916,Stenotrophomonas maltophilia Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas, Stenotrophomonas maltophilia group,
OTU_8970,Dechloromonas denitrificans Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Azonexaceae, Dechloromonas,,
OTU_17109,Pelosinus sp. UFO1 Bacteria, Firmicutes, Negativicutes, Selenomonadales, Veillonellaceae, Pelosinus,,
OTU_3661,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_21238,Propionispira arboris Bacteria, Firmicutes, Negativicutes, Selenomonadales, Selenomonadaceae, Propionispira,,
OTU_4330,Ensifer sp. CHU2 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium/Ensifer group, Ensifer,
OTU_8633,Burkholderia tuberum Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia,,
OTU_15433,uncultured Sinorhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium/Ensifer group, Sinorhizobium, environmental samples
OTU_4203,Methylomonas koyamae Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_16049,Holophaga foetida DSM 6591 Bacteria, Acidobacteria, Holophagae, Holophagales, Holophagaceae, Holophaga,,
