sample,Latitude,Longitude,geographic distance X,geographic distance Y,DOC,DTN,MBC,MBN,NH4_N,NO3_N,VWC,A,soil T,Ph
CX1_H01,31,119.5900104,626585,112339,44.734,23.973,433.137,37.557,5.038,9.536,55.9,50,18.2,5.93
CX1_H16,31,119.5901664,626600,112339,31.32,12.961,684.934,46.829,3.793,8.583,42.6,48.8,18,5.71
CX1_H36,31,119.5903745,626620,112339,29.646,12.72,479.432,30.138,3.841,7.667,47,48.5,18.4,5.23
CX1_H06,31,119.5900624,626590,112339,32.249,15.663,555.142,57.128,5.259,5.329,43.4,49.4,18,6.51
CX1_H76,31,119.5907906,626660,112339,28.433,13.734,587.836,40.05,3.34,6.369,49.5,48.5,18.4,5.37
CX1_V01,31.00000901,119.59,626584,112340,36.108,16.281,451.994,50.514,5.607,2.339,41.5,41.5,19,6.01
CX1_V16,31.00014414,119.59,626584,112355,29.816,8.114,419.434,34.359,6.797,5.286,52.6,45.4,18.2,6.88
CX1_V36,31.00032432,119.59,626584,112375,41.193,14.601,417.484,38.255,5.261,1.402,56.8,47,19.2,6.58
CX1_V06,31.00005405,119.59,626584,112345,37.36,10.95,395.478,29.304,5.65,1.382,53.7,44,19.4,6.83
CX1_V76,31.00068468,119.59,626584,112415,29.273,7.701,340.009,21.479,5.278,13.608,57.3,49.4,18.4,6.18
CX2_H01,30.98333333,120.0000104,666133,110491,29.216,10.446,495,28.185,3.329,7.82,46.5,43.9,18.5,5
CX2_H16,30.98333333,120.0001664,666148,110491,27.587,12.155,327.935,19.044,3.162,6.385,39.8,43.9,18.5,5.31
CX2_H36,30.98333333,120.0003745,666168,110491,29.222,12.341,490.085,30.46,3.191,4.684,44.5,44,18.7,5.48
CX2_H06,30.98333333,120.0000624,666138,110491,30.306,15.134,580.937,34.695,3.196,7.045,48.2,44.6,18.5,5.56
CX2_H76,30.98333333,120.0007906,666208,110491,26.614,10.995,681.295,30.54,5.726,2.278,29.3,41.1,18.6,5.43
CX2_V0,30.98333333,120,666132,110491,28.672,11.418,421.117,27.412,4.025,11.269,40.9,40.9,18.7,5.59
CX2_V01,30.98334234,120,666132,110492,39.243,22.354,757.367,41.521,4.847,6.729,45.4,42.4,18.5,5.16
CX2_V16,30.98347747,120,666132,110507,30.219,15.056,708.12,38.766,3.33,7.408,47.6,41.7,18.6,5.93
CX2_V36,30.98365765,120,666132,110527,29.435,13.412,549.717,36.946,3.639,8.385,48.2,42.2,18.6,4.99
CX2_V06,30.98338738,120,666132,110497,37.08,15.131,741.754,44.813,4.078,9.057,45.9,43.3,18.6,5.26
CX2_V76,30.98401801,120,666132,110567,29.865,15.577,448.744,28.107,3.656,5.079,43.7,42.3,18.8,5.95
CX3_H01,31.00638889,119.948066,661122,113047,31.61,8.79,620.934,39.102,4.548,2.477,34,40.9,19.1,5.21
CX3_H16,31.00638889,119.948222,661137,113047,33.549,9.495,472.562,23.769,5.412,4.064,45.9,41.8,18.7,5
CX3_H36,31.00638889,119.9484301,661158,113047,35.268,11.698,723.424,45.139,6.827,1.978,40.4,41.7,18.6,5.14
CX3_H06,31.00638889,119.948118,661127,113047,34.242,9.094,580.995,35.457,4.638,2.611,45.1,41.4,18.8,6.51
CX3_H76,31.00638889,119.9488462,661198,113047,33.484,10.494,697.224,56.103,5.386,2.125,41.8,41.7,18.6,4.65
